username,rating,comment,date;;;;
"jaem na,1,""benci banget benci, bisa ngga sih iklan nya stop? lu di mana mana iklan mulu, nyusahin banget. ngga usah di iklanin sampai harus ke apk lu juga dong, gue lagi buka aplikasi, buka web, buka apapun walaupun ngga mencet juga selalu diarahin ke sana. mana toko nya ngga ada, lag, jorok banget, minimin deh iklan nya, udah banyak yang ngga nyaman, emang mau orang-orang beralih dan lu tergantikan cuma gara-gara iklan ngga jelas lu yang ganggu itu"",2025-12-28 21:06:23";;;;
MIRZA ROBLOX,5,mantap sekali Dan menghibur,2025-12-28 20:55:22;;;;
"Galuh Laelani,1,""app terberat, terlemot, terberisik, appnya ngelag, vocer suka eror, bayar pake sopipay suka eror padahal saldo ada. hadeh pake app ini bukannya memudahkan malah bikin makin emosi"",2025-12-28 20:34:03";;;;
"Anik Tri,5,""10 tahun berjalan, masih mantul 👏"",2025-12-28 18:21:12";;;;
Gabriel Ferdinand,5,one of the best market place...,2025-12-28 18:06:03;;;;
"halima halima,5,""sangat puass dengan shopee, kenceng dan semuanya ada"",2025-12-28 17:28:43";;;;
Malik Abdul aziz,5,sangat puas dengan pelayanannya,2025-12-28 17:21:06;;;;
"Abdullah iman,1,""kecewa, setiap ada kesalahan ga pernah ada kompensasi buat kustomer, pertanggung jawabannya cuma sekedar maaf doang. berapa kali masih gapapa tapi lama lama kayak ga belajar."",2025-12-28 16:56:23";;;;
Feean Pratiwi,5,Lagging so bad..its getting worse and worse after update,2025-12-28 16:49:06;;;;
"Zg,1,""sangat banyak kebijakan yang merugikan dan menyusahkan seller. update: optimasi makin buruk, bikin ngehang hape. buat jalanin aplikasi berat lain lancar cuma buat shopee banyak banget bug"",2025-12-28 16:29:06";;;;
"dr. Rusly,1,""Worst customer service experience. Ketika ShoppeCare (email / IG / dsb) tidak bisa diandalkan- cuek, tidak mau mendengar, tidak empathy kepada pelanggan, kita harus melapor kepada siapa? hahaha. lebih baik kita hapus aplikasi ini."",2025-12-28 16:13:59";;;;
Handoko Aji W,5,mantap,2025-12-28 16:11:23;;;;
"Just Rusko,1,""sempat ngasih review bintang 5, harus downgrade ke bintang 1 karena kelakuan CS ampas bernama KIKI yang main tutup laporan sepihak, tidak empathy dan pemalas - tidak mau membuat surat yang diminta pihak bank (SeaBank)...."",2025-12-28 15:44:01";;;;
"Asep Sofyan,1,""Buka applikasi langsung Live Video yang sangat mengganggu dan kadang2 bikin kaget, tolong diperbaiki, sudah banyak keluhan di medsos contohnya di """"X"""""",2025-12-28 15:42:29";;;;
User9987 76,5,best of the best,2025-12-28 15:31:24;;;;
Are Go,5,dark mode please... ben ora silau bos.,2025-12-28 15:27:38;;;;
